id,saleprice
2658,188483.896602988
2718,216101.06773440866
2414,185750.00704255863
1989,151901.37135714502
625,168390.5103414713
333,99383.49633604544
1327,149360.36621464952
858,151908.1392594918
95,211944.4991666947
1568,144609.9614618842
2482,167746.7872134808
1364,244481.12660233653
2584,157647.90152674844
818,269327.3948911766
2673,179820.05659846263
2089,127219.99659868306
1297,182963.84756269795
790,124399.62353794253
2616,186682.94178680074
720,214368.61428847373
222,133080.59741834458
557,117896.54152142932
1148,208618.0576306854
2766,165076.03762026364
534,207001.24292681995
1452,110924.50150394463
630,123113.40907724458
2648,159411.61632033275
125,132036.09593573003
1904,35004.54706433113
1670,102038.2070193754
756,211672.018398111
717,285456.806268221
1032,155547.74521796452
852,218975.79351658304
1731,183267.04394509573
2639,161204.34275333374
2071,69259.52163389535
1267,90223.36403689091
1851,210522.16036170442
567,163889.83092065528
2439,213360.78718567197
1898,156202.07367726858
647,140354.23895629635
2256,209369.93038937752
979,115989.92516935547
1444,215081.82732664514
2485,111004.93914176035
157,112221.16853814572
88,118809.56658119312
2003,137803.5433641004
186,228738.28205130924
1425,259203.0665647816
2695,244764.34016289865
738,102758.48159779585
395,146442.31792217284
1353,175722.96226323117
1878,144701.9632442582
390,171451.4350883651
1456,230189.02150232834
1103,282110.45034372434
1387,115796.535630611
2070,140262.72667686548
1199,191171.6645727805
2479,174241.25302378065
501,279559.6150860952
2362,74324.05873499741
1718,194481.66655018437
2188,54615.042014085455
1483,148091.4591703678
2557,77956.41186528071
437,291729.4914710892
2224,219652.92615573993
1628,167895.864506145
397,120052.096414448
587,212082.9856938885
971,139393.55473516672
2611,145910.9850827586
1887,71568.54227867094
2399,279653.68148318236
2148,213211.95897121332
304,240604.0619251167
1997,160702.13649907243
2817,111568.88740295707
1431,204568.34892400424
427,316102.43144986033
263,116912.22623957787
598,163715.25412368937
2895,238599.51486337697
687,163871.31251874845
1822,124936.53084392915
2191,108257.6136815201
179,171668.65553141222
1009,189599.28506648564
2010,123065.49483727873
1991,177882.18961836724
1411,164525.2969696743
1721,237687.14745062613
1144,192428.52940450772
593,218037.47355878283
575,307019.61276696203
1249,172028.0313617536
1604,104444.29821903608
1064,368335.8246793195
1923,143465.64779321896
1988,124086.90581748378
2325,164097.55205544806
114,198263.7213529211
2700,217351.68392186332
217,159206.66628542612
343,170407.0145066327
386,243203.85200744472
2005,135050.27573466697
2908,130384.85199193587
1814,214025.95209557912
2446,383607.99832693464
208,171466.5868684058
1679,102809.81599392719
822,283587.8529814605
6,183539.65842780028
1781,335698.0475876846
2397,249199.02283196477
2340,262911.83125266037
1618,166974.46250967798
2843,193843.48114346317
1061,305764.1690271415
2786,108275.07441582973
1935,116985.87098097592
1341,121807.07990705268
521,276071.7630077654
2136,118807.51126488601
996,186185.89798665862
227,139821.59405342047
135,150050.69404548546
1167,176941.71721156803
294,253160.6874166543
1776,216362.89597710432
540,195523.7581573159
1717,194481.66655018437
2303,94636.28387728543
116,194867.63903174433
127,119260.33106685174
1371,248896.2193184297
1014,179797.07775641629
1507,93652.21867430094
702,188319.02394244424
750,188416.64736351022
261,150450.6569716907
1559,168141.1526103653
577,295143.4246608978
2812,209063.49602158763
2080,165737.55171394604
1368,156841.69181541936
2376,100517.07992887567
659,125806.7716771278
1235,110663.37736266316
332,86779.91155547835
1917,127158.42068267311
2094,241926.38205010002
1460,274147.4508574188
1471,197523.2197025728
1509,125160.25003332482
1922,122356.4156674007
433,376408.38903793995
460,240697.2940664175
1116,254885.13379777852
1137,180236.56487675523
53,172909.32439617673
2354,251802.455078891
1475,210905.50823731092
1761,450964.4008105751
842,142774.07968224003
2739,177134.83072592295
2509,172428.37910970324
1007,206252.81293849158
2610,174273.14550722553
1952,96607.01019981294
2719,214662.12389455084
2921,98017.93513564207
1966,130225.3284867357
292,167495.95189215778
1204,200653.97282561124
1829,296604.2570965248
2419,189077.03195533808
391,162712.0367165201
798,121630.62084545405
481,187071.10794103984
193,221727.10446383222
555,115709.30826907768
899,62946.95221170341
2357,187113.67470361874
328,119557.45876052557
1356,121211.4064400976
1154,100986.53843886382
1730,173678.53277107188
2249,122126.65725715528
1119,255690.65691891126
2856,162038.269200983
1394,142931.0342719399
2587,110707.5810066273
61,296824.05677666026
2661,238537.38034744584
2711,124746.06396728754
1147,184023.32640966796
757,169877.33744961
2623,66126.95702128159
2378,157714.87913361285
1413,147689.48937898525
1722,214519.0958115172
1112,218513.63211599528
1623,190176.33427391644
1201,186713.20229283744
1513,116807.504246047
957,247147.3508677669
1171,253043.46424415754
1145,199717.114850519
2726,258672.93649771367
703,188628.30309325177
760,174308.72116230847
1964,123107.77385800821
2512,186895.55247783824
159,200922.3654595043
1281,169671.5795169582
468,174032.11952333245
290,152712.94668348157
665,122154.55182324606
1463,273736.2554163963
1792,234282.85538309324
923,167445.1531264449
500,257254.60548536666
1408,164762.60252719698
331,64870.11922815791
170,148218.69643241982
2192,81142.56045574439
2571,288478.8129915523
2314,164616.45180081273
2647,112763.89249096508
422,325630.88776182965
2457,328764.2518320647
1838,208652.16482628626
2805,249389.28939085756
1645,170889.1284618443
1711,270216.9523226302
2825,256393.90991304978
322,310369.2015300768
2103,262617.6200432072
342,115720.78526773374
600,85378.25005952804
488,198117.6979396448
1725,282088.6012626216
2246,271985.45966614643
2847,211009.17591270618
806,241636.5026882114
530,238959.87329803058
963,189233.61374978884
2678,80078.17931413208
171,110997.92118747463
2401,332361.5096282789
805,216285.4384613023
2259,213471.7095809027
1748,170161.91414666898
1361,259907.69958985015
1677,119350.251579148
1406,144739.22082780534
2322,223483.22390088043
688,171031.15739341988
143,133684.3782560518
804,198434.7467505643
1214,162538.90506637841
2828,166061.43725335458
1999,235474.44215054228
2467,205969.87910892838
2665,202005.7180523749
